sentiment,title,body
negative,Predictable and cliche...,"When I finished this book - which I had to force myself to do - I felt like I had just finished watching an overplayed Lifetime movie. The plot was incredibly predictable. The characters were underdeveloped, so there was no hope of liking or feeling sympathy for any of them. Even the physical descriptions seemed contradicting; I couldn't decide if Simon was supposed to be handsome and suave or dirty and creepy. Some of the descriptions and phrases were so overly cliche that I had to roll my eyes. The dialogue was forced and mechanical. All of the conservative, religious and/or pro-life characters in the book were depicted as closed-minded, condescending, and sometimes murderous lunatics. Some of the narratives were clearly rants about religion, conservatism, pro-life thinking, and self-control. Overall, this book was unfulfilling and frustrating. If you're looking for a good, thoughtful read, I would avoid this."
negative,Overly Dramatized and Sterotypical,"In the book Kabul Beauty School, the author manipulates her personal relationships with these women and writes an overly dramatized and sterotypical story with many mistakes and factual errors on Afghan cultural. She also writes with a sense of superiority while ignoring the shortcomings in her own personal life."
positive,Check Out Greg's Music,"Greg Greenway is a hidden musical treasure. He sings from the heart with conviction. Great voice, lyrics and messages. Also check out the latest collaboration with Joe Jencks and Pat Wictor...Brother Sun."
positive,I like Olie!,"I like this book very much, but it's not as much of a favorite for the 2 year olds that I bought it for. They enjoy the board books more. I think part of the problem is the funky type that the words are written in. The other part may be that I'm willing to let younger hands be rougher with board pages than I am with paper pages. I'm a big fan of Olie."
positive,Extraordinary Tell-All Book On How One Widow Overcame Grief,"The author presents an autobiography of how she overcame the loss of her husband when she was just 27-years-old. Hirsch describes in vivid detail the emotions she suffered and how she overcame her debilitating grief through a series of healing processes that resulted in her own spiritual transformation. This tell-all book leaves nothing to the imagination and guides the reader into an unexpected, but welcomed, succession of events that may challenge some religious minds when the author discovers that life does exist after death. A must-have book for the overlooked younger generation of widows or for anyone interested in overcoming grief resulting from the loss of a loved-one."
negative,It's NOT all about food,"Being overwieght minus medical conditions IS possibleBeing Obese does not mean you Are unhealthy, just as being thin makes you healthy. There are way too many Additives And preservatives and chemicals in the food supply which contribute to the medical conditions. Once we take all the flavorings, ""spices"" etc out of Food, well be ok. Diet food is loaded With chemicals to make Them Taste better. Obesity is NOT the issue. Its the FDA."
negative,EZ close,We have two of these on one storm door and this product has been a total bust. They allow the door to slam shut and it can not be adjusted to hold no matter what you do. I would definitely not recommend these.
positive,A very good album,This album is very good. It has an amazing song Birth Machine 2000 and the rest are very good. It is in the same formula as the Carnival Bizarre . Domm metal but not boring and slow as their first album. Well their best album till this one is Th Carnival Bizarre. A must for all Cathedral fans.
negative,Poor Show,In this day and age you'd expect a game within this costing bracket to have a better interface and functionality. Probably rushed through to coincide with the end of the World Cup.
positive,Childhood Memories,Great to have this series on dvd! Watched reruns of this cartoon in the morning before elementary school. Reminds me when I was a child.
negative,Unmemorable Psych-Fluff,"Not to be confused with the US '60s band Kaleidoscope, this is a UK 60's outfit whose output consisted of really wimpy psychedelia sung by high, non-descript voices. The instrumentation lacks any meat, but if you like things like Donovan's more embarrassingly hippy-dippy songs, then this may be for you. Otherwise gets pretty boring."
positive,The story is enchantingly told by a great writer.,"The story of the Authurian legends are twisted with the creativity of Mary Stewart's imagination to create this enchanting telling of Merlin and his very own Aurthur. Stewart creates a fictional character named Ralph that the childhood of today's day and age can relate to. You follow Merlin's conquest through his trouble's and his trimphs until the very end of the book. It is suspenseful until the end, but doesn't give up then. It keeps you reading until the very last word. The only dislike that I have come to with this book is the fact that it is slow to get in to, but aren't the best understood books tht way? You must have a basis for what you are reading even if you haven't read the rest of the saga. (The first book) as I hadn't when I sat down to enjoy this well told story."
positive,Does it get any sweeter?,Has all the right actors and full of what a romantic comedy should be! I have watched it many times since I purchased it. Once I watched it with my husband I just had to take it to my friends and watch it with them!
negative,P-U,"Based on all the rave reviews read on the product, I thought this would be the one I would go with for my toddler son to use as a natural mosquito repellent. While there is a faint orange scent and taste, it is completely overtaken by the icky vitiman smell and taste. I guess there just is no way around that with a B vitamin. They sure tried. I tried too. Tried sneaking it into my son's juice, but he quickly caught on. So, ask me where the bottle is now. Collecting dust on the shelf."
negative,Enormously large and heavy,"This is an adapter that comes with Sony F series laptops.It is enormously large -- the volume and weight of half a small netbook. Twice as big as a Thinkpad T60 adapter and 3 times as big as Asus UV30 one. We're not talking little percentage points.If you never move your laptop, this shouldn't bother you, but if you intend to carry it, the adapter will make its enormous gigantic presence noticeable. At least you won't be able forget it easily.If it was a power adapter for a laundry machine, it'd be great, but for a laptop... not so much."
negative,What happened?,"I thought the CD was very repetitive. I'm a very very big Metallica fan and couldn't believe what I was hearing. It sounds as if they were going towards a harder heavier metal but just couldn't reach it. I'm lost for words. There's some interesting songs in here, but I love their old stuff and wish they'd go back to their roots. If you like Metallica go ahead and buy it. You may or may not like it. But I wasn't impressed. Next CD needs to be better."
positive,Pink Floyd Never Ceases To Amaze...,"I am what you might call a ""intermediate"" Pink Floyd fan. I have been exposed to a lot of their work, but have only recently experienced the musical journey that is ""Meddle"". If you have any history with Pink Floyd, this album will render you nearly motionless in delight. But the real beauty of this album, lies in its ability to appeal to even the casual listener. That is of course, with the exception of ""Echoes"", which remains the finest musical emulation of an acid trip to date. Personally, I make time (about 23 minutes) every week to rediscover the depth-of-thought, and utter madness that is ""Echoes"". The album is worth every cent. But more over, ""Meddle"" is worthy of your time, and intellectual consideration."
negative,A French Country Murder,"A book in desperate need of an editor! In the end it lost me and I tried, I really tried. The plot started with the central character falling out with a colleague in the CIA. {Possible, not a problem there} And in despair he lands at Charles de Gaulle Airport north of Paris and from there walks to Spain and half way back again. The Author might have done his case some good if he had actually visited CDG or Paris. I do believe he visited the Village in the Loire, but Mr Steiner France isnt that small. Paris to San Sebastien on foot is considerably further than Chicago to Jackson Mississippi! If you want a good detective story with the flavour and aromas of France, tuck into the Bruno series by Martin Walker, or The Adamsberg series by Fred Vargas, [who is French but well translated into English]."
positive,Love,We love Mercer Meyer around this house and this was just a great book to add to our collection. Wish we could have found a new copy.
negative,"smelled good, but...","The green tea scent was nice, but this didn't do anything to prevent or reduce my razor bumps along my bikini line. Also, it's like a conditioner, so I felt like it left a residue on my skin."
positive,Tunes to blast all summer long & into the rest of the year,"This band knows how to deliver rock & roll with the kind of drumbeat, tantilizing guitar riffs and solid bass while not over-powering the deep, gritty vocals that will thunder from yourspeakers. There are slower more acoustic moments on this cd butBNS comes back with another onslaught of heavy, old style metalthat they have cultivated from the bands that have influencedthem. No-they are not copying styles but using their own musicand lyrics to pay tribute to the great rockers who have proceeded them. Get your copy and you'll love each track. As alistener you'll even be able to find people in your own life thatthese musician's are speaking about. Once you own the cd you'llneed to see a live show to understand what many of us already know. This is 'Your New Favorite Band!'"
positive,This is a Must Read...,"If you are reading this review, you have likely embarked on a deep spiritual journey, as I have.Reading Oneness confirmed and explained all the knowing I already possessed.This is my absolute favorite book and truth to date.I also highly recommend visiting Oneness Through Rasha on Facebook for great quotes from the book with beautiful pictures.All the best on your spiritual journey and I wish you love and peace."
negative,Principal Texes,The book is too general. Doesnt give you any hints or facts. I found very useful other materials. The author is very kind but not important information will be found in this text.
negative,Fell apart before he even wore it,Bought this for my son's 9th birthday because he loves race cars. The lower right button fell off while we were setting it. He hadn't even worn it! Short pins used to connect to base wouldn't stay when we tried to repair it
negative,So bad it's silly,"Their is a very good reason this band is not in the Rock and Roll hall of fame: They are not good. The guitar solos are basic, the music itself is simplistic, and the lyrics, my god the lyrics. I've never heard sillier trash. Just listen to ""The Magician's Birthday"". ""I have a sword of hate,"" ""My answer is simply, an impenetrable fortress of love."" Puhleeez. This band is the epitome of bad 70s art rock. They were trying to be deep and artistic. They failed."
positive,Mirage OMNI S8,"I own Mirage products prior to purchasing the OMNI S8 so I knew the quality of the product already. When I found this deal, I couldn't pass it up. It arrive on time and in a well protected box. I was very concerned in its condition when delivered, and was glad to find the product in perfect working condition."
positive,I'm Jack The Pumpkin King !,"NECA Tim Burtons The nightmare before christmas series 1 jack is just amazing collectiable this figure's price just getting higher and higher lucky for me I found an amazing deal so this figure has 4 acessories two jack o lantern's, zero and evil pumpkin present. just to warn you NECA's Nightmare Before Christmas jack is very fragile figure cause how thin he is so be very careful I havent had problems with this figure at all I actually had this figure attempt suicide not actually but I'm just really thankful it didnt break cause I would be very ticked off if it did. I'm a huge Tim Burton fan I currently own Coraline with shinning star outfit, the mayor, Dr. finlestein, oogie boogie man and sally but I do tend to get other nightmare before chirstmas characters and all stand very well especially this Jack skellington even though it tryed to jump off one time, any way if you love Nightmare before christmas get this figure."
negative,Very Disappointing,"Maybe I expect too much and I know I'm old fashioned, but I like romance and characters that are developed. I like a story where characters discover feelings for one another and I as a reader am taken on a journey with them to figure those feelings out. Sandra Kitt knows how to do this. We've all for the most part have been attracted to someone at first sight, but give me a break. There is a difference between romance and erotica. These characters just annoyed me and I didn't care if they got together or not. ""At Last"" was a little better. One reviewer was right, I too found myself more interested in what was going on with Caroline and Brian then Tracy and Jack. The one good thing I can say about ""Caught Up in the Rapture"" is that I love it's book cover."
positive,"The Grip! surprising album, my review from Barcelona","What a wonderful surprise this GREG KOCH's CD. `The Grip' is not a typical Blues album. It includes several styles but it sure is a terrific guitar exhibition from beginning to end. It's been a long time since I heard such an amazing first track: ""Zoiks"", brilliant. ""Spank It"" is phenomenal; the slow Blues ""Chef's Blues"" is enthralling; there are very good tributes to Jimmy Hendrix in ""Spanish Castle Magic"" and ""Big Jim""; to Eric Clapton in ""Steppin' Out""; and to Albert King in ""Albert's Back""; heavenly sound in ""Drawn My Number""; a little of high level hard Blues in ""The Grip"" and so on. In a few words, a very entertaining and interesting record. I recommend it and I give it 4,5 stars."
positive,Love this tea!,I drink several cups a day to help with digestion. I never get tired of the flavor - has a good ginger bite to it.
positive,Webster's New Word Student's Dictionary,"This dictionary will be appropriate for students in middle and high school. Even in the age of computers and Spell Check, dictionaries are indispensable. This one is a dandy."
negative,the texas chainsaw massacure 2,"this movie I would have to say was pretty bad. There's a lot of action scenes, and blood scenes, but overall this movies sucked ass. To tell you straight out why it sucked was because it's a predictable story and leatherface looks like he got f$%#@@ in the face. You would of thought that maybe because Tobe hooper made the first one this would be good,(also he directed this one too). So rent if you want but don't waste your time hoping for a good movie to come out of this."
positive,Must Have,For Harry Potter Fans a complete pack of the games to date...i loved playing them and can't wait for HP4 game to arrive
positive,Great!,The ball mount worked great. I got it in red and it looks good with a chrome ball. The red one had the best price at the time so its the one I got. Its a great hitch!
negative,Bait and switch,Do not recomend this vender item advertised in stock then they said they wanted to sustitute due to non stock sounds like a bait and switch to me
positive,4th Set - Excellent Product,"I've put these VentShade deflectors on 4 different vehicles now, trucks and cars. Each time, the fit is perfect, they adhere like they are bolted on and really work nicely to allow an open window even when it is raining. I had a set on my F150 for six years and when I sold the truck, they were still like new. I highly recommend this product."
positive,Quite satisfied,"I currently have three of these in use, each one in a separate bluebird house. They provide quality video and sounds. I can even hear people talking when in the yard in the vicinity of the birdhouse. It is very entertaining to watch the birds build their nest, hatch their eggs and raise their young ones."
positive,THESE are STEEL TIP DARTS,"These are excellent darts, but BEWARE they are STEEL TIPS. When I bought my Soft tip dartboard they can up as a related product and since nowhere in the ad did they say steel tip I thought they were soft tip...."
positive,AMAZING,"I have gotten multiple of this product and it never ceases to amaze me! I was considering getting the hydrowhey from the same company but I realized from other reviews that its basically the same and the scoop is bigger so actually when they say it has more protein, it actually dosen't... it has just a little more protein per serving but not too much more! I'd rather get this one its cheaper and I can drink more scoops and it'll last longer for me. I got mocha cappuchino and the taste blew me away! With milk it tasted just like a mcdonalds iced cappuchino! Amazing product!"
negative,Beware of mapping updates,"I just tried to put the 2009 City Navigator North America NT map into this GPSr. It will not show water features after the update. Garmin has told me that this is a problem with this unit. They are reimbursing me the price of the map update because I can't use it for finding streams, lakes, and rivers. If all you want to do is put in an address and go, that's fine. It's been a great GPSr for me and has taken me places I didn't even know exist. Just remember that you may not be able to see the water features on the map, depending on your location. And you may not be able to pinpoint your favorite fishing hole because it won't show up - all all. I'm putting the old 2008 map back in so I can use it for finding water features.For the price of this unit, you can get a new one and not go through the headache of using outdated maps for the rest of the time you use it."
positive,Love the designs but enlarging patterns gets expensive,Love the book and projects but it cost me $8 to enlarge one pattern at Kinkos...next time I will try to fit 2 or 3 more on the same copy
positive,Good Product,"I am definitely feeling the affects of this product, I caution everyone to be careful before detoxing, because this product will do just that, the process is not pretty but it's all worth it to have a clean system. There will be detox symptoms that will eventually pass, with that said I plan on being a repeat customer."
negative,Not that impressed.,"I like Stewart's show but not this book. I didn't even finish it which is a rarity for me. The best comparison I can make is to a juiced-up ""Mad Magazine"" and I outgrew those years ago.Pretty inane."
negative,True love . . .,"True love does not seek to manipulate, exploit or possess the will of the other -- no matter the context, no matter the circumstances, true love will RESPECT the will of the other and grant their freedom. The essential condition for love is respect for the inherent freedom of the other.Keep this in mind as you watch Paulie's psychological self-implosion and disintegration -- ask yourself if she is somebody to be commended, especially in the latter half of the film when she seeks by any means necessary to possess the will of her beloved.(A second viewing may be necessary to see this point)."
negative,Preying on the Fears of Latina Women,"Another self-serving book by another financial planner prowling for customers--but claiming that she is trying to help others. As a Latina woman I am ashamed that Miss Stav would be preying on the fears and financial problems of our own people. The advice isn't new or well written and it won't show you the way to financial freedom. ONLY THE AUTHOR WILL GET RICH FROM THIS BOOK!! Many better books are on the market that contain more useful advice for all women, such as ""Making the Most of Your Money"" by Jane Bryant Quinn and ""The Only Investment Guide You'll Ever Need"" by Andrew Tobias."
negative,Not worth the effort,"I've read most of Toni Morrison's work and anticipated the release of Paradise. I should learn not to set myself up like that. More complex and enigmatic than any of her other novels, Paradise waits far too long before giving the reader enough frame of reference to appreciate what's going on. The characters are interesting, but lack the multi-faceted quality that made books like ""Beloved"" and ""Song of Solomon"" so rich. There is merit to this book, I just didn't find that merit to be worth the effort of slogging through the murky depths of the convoluted storyline."
negative,Don't Turn Around,"MMMMM, yeah baby, this is some serious love making music! Too bad I can't stand love or making it. Luther may have had one hit in the 70s, but this thing has no hits. If you like guys who sound like Tina Turner, you may dig this. I wish Ike would have beat Luther Ingram."
negative,cheap subtitled movie,"this dvd did not meet the quality of other dvd's purchased. the sound quality was poor,at best. Unclear and did not match the characters lined"
positive,Actually Quite Good!!!,"Not as good or as mind blowing as the original, but way better than Reloaded. There is more action in this film than the first two combined. The ceiling shootout at the Club Hell, the 20 minute epic battle against the machines, and of course Neo's final rain-soaked confrontation with Agent Smith are great and worth admission price alone. If you were dissappointed with Reloaded, don't give up hope just yet. Revolutions is why we action fans go to the movies!"
negative,Super disappointing,"Like many of you, I'm a big Savage Garden fan. But please don't force yourselves to like Darren because of that.The title track ""Insatiable"" is good, but the rest of them [stink]. My advice:just buy the single! Darren can't have the chemistry just by himself without Daniel. After all,I mean the whole is more than its sum in Savage Garden."
positive,Flippin' Hilarious!,"Okay, so maybe I'm easily entertained, but this is still super funny every time I read it. I even laugh out loud when I watch other people read it. I originally bought the book because ""Dogzilla"" looks EXACTLY like my dog. He's full of attitude, so I usually get the response ""Oh, so THAT'S where Toby came from!"" I LOVE this book."
positive,Excellent Hooks,We attached the hook to our bathroom door to hang our towels and it does the job. I was pleasantly surprised to see the weight it can handle - excellent product.
positive,"Profoundly moving, changed my life.","This book takes you on a journey. Through its poetic, inspiring words, the reader will find himself transported to another level... a realm beyond the ordinary. Combining photographs and philosophy, Bond compels his listeners to realize just how precarious our contemporary world, beleaguered with technological paraphernalia, is on the verge of destroying our capacity for intimacy."
negative,bad size,"the size is really bad, i ordered 4XL but it came bigger than what i imagined and it's very tall too!The fabric looks good... but didn't actually tried it since it's too big for me..."
positive,An Interesting Look into a Military Mind,"You have to be determined to finish this book. It starts slow, and the writing isn't the best, but it provides an interesting glimpse into the mind of Tommy Franks and the military during the Iraqi and Afghani invasions. I enjoyed it, and it's a great read for anyone interesting in the strategy behind our two latest wars."
positive,MISSION IMPOSSIBLE COMPLETE SERIES,"I want to thank you for offering this series, it made my son, who is 51 yrs old, very happy at Christmas. It is of very good quality and I would recommend this series to anyone who enjoyed this television show when it was being shown in prime time.Again, thank you for having this complete series for all to enjoyDianne Bird"
positive,Quick introduction to Bali and Java; very current,"This recent travelogue for Bali and (largely central) Java paints a very good portrait. It's a quick read, but still manages to immerse the reader in the areas covered. The book consists of short anecdotal scenes, each describing a specific encounter in such a way that you feel you were there."
positive,If you're into vampire and romance you should read this book,"You might have read a lot of vampire-romance novels but this one certainly rates a 10. The story itself has a good plot and amazing characters to suit their purposes. The three sisters, Rowan, Kestrel and Jade, uncannily beatiful, are actually fugitives from Night World and their brother Ash is sent to take them home. Both male and female lead role are superb. Their roles fit them perfectly. Ash, a vampire whose whole life changed after finding his soulmate is a human and Mary-Lynette a girl with a strong character who wasn't really willing to accept the fact that Ash is her soulmate. And of course...the way the authour tells her story and the words she uses..it's absolutely incredible."
positive,A decent product,"The Black & Decker D2030 has shown itself to be the best iron we've owned. Lots of steam, supported by a large water reservoir.Why then only 4 stars? Because I am skeptical about a product produced by a company that can't answer a simple question about the design of their product. I inspected the iron on receipt and noted that only half the steam holes in the sole plate appear to be functional as they are the only ones that pass fully through the soleplate. I contacted the Black & Decker help line and asked ""How many functional steam holes is the D2030 designed to contain?"" Their response ... ""We don't have that information.""My concern re. the number of functional steam holes is to assure myself that the iron's steam function will work correctly.If they can't answer this question why should I believe they are capable of producing a quality item"
negative,No respect for victims,"Told from the point of view of Ted Bundy, this film is no holds barred, it provides some quite sickening details of the killer's actions with no explanation of what drove the man. I do wonder about the families of the victims. The victims were portrayed as one-dimensional walk-on parts. I know this is how Bundy would have seen them, as meat and nothing more, but I found it disrespectful to those who died and who were left to grieve. It is clear that the director has no idea of the enormity of these crimes and the affect on the victums' families, if he did he might have thought twice. I suppose he felt the execution scene would create a balance, but it doesn't. These were real people, not inventions, by showing us this the film would have been that much more powerful and convincing."
positive,collection available for other dvd regions,"As a big fan of Jane Austen, this collection is undoubtedly precious and i would be delighted to hear soon that it will be available also for other dvd regions beside USA and Canada."
negative,The Street Lawyer is one big snooze,"I was so disappointed in this latest Grisham book. I kept expecting things to get interesting and mysterious but all I got was hundreds of pages of social commentary. I read Grisham for escapism, not morality harangues. The plight of the poor and homeless in this country is an abomination, but, I don't think that a novel is the best place for advocacy. Mr. Grisham needs to put his show on the road and raise money for the homeless and get back to writing the books where the pages practically turn themselves."
positive,300 HD,"I bought this item as a gift. I had a hard time finding the HD version in stores, so was very pleased to get it so quickly on Amazon. Great quality, quick delivery."
positive,Extremely useful internet book.,Lots of interesting facts I never knew about the internet. Made my internet experience a lot more enjoyable and productive than I ever imagined!
negative,A classic I think not!,"The Tomb Of The Cybermen is regarded as one of the very best Doctor Whos there are, but when I saw it, I was amazed at how bad it was. The main problem is that the whole story is layered on three sets - two rooms, and the tomb. Them aside, the story goes virtually nowhere. For some reason, the Cybermen do duck impressions all the time. The cast are predictably bad (especially the ""american"" captain) and the plot is quite silly..."
positive,They'll do the job. Sturdy enough,"They're about as basic a rubber boot as I can think of, but definitely the cheapest I could find and they are thick. I at least don't imagine them wearing out or forming a hole any time soon. I read someone else's review about them being flimsy. I bought them anticipating this, but mine are pretty sturdy. Perhaps they bend a bit. I definitely would order one size smaller than daily shoes. I wear shoe size 11 and the 10's are nearly right on... maybe could have even ordered a 9.5 had they'd been offered."
negative,"Very poor game, I expected more but received less.","I loved Dead or Alive for the regular Xbox. However, this game is just a piece of garbage. First of all, this might not be a big deal to most people, but if you love to earn achievements, YOU WILL hate the achievements for this game. I cannot begin to explain how hard this game is. Yes it is fun to watch these beautiful characters dance around but there is NO nudity in this game. I was very sad with my purchase because personnaly, I thought this game had nudity. But there is none. There are no instructions for when you start the game, possibly your only option is to research the game online and watch youtube videos how people play the certain types of games in DOAX2. I have to tell you all, the racing games this DOAX2 has to offer are very challenging. You will waste your money if you purchase this product."
negative,Not worth buying,"This rug has a very thin weave and looks cheap. Also the ""white"" background in the photo is more of a dirty off-white color."
negative,A Sad Gift,"This movie doesn't stand the test of time - if it weren't for the concert footage, it would be virtually unwatchable.I was hugely into Jane's Addiction back in the olden days, and their music is still perhaps the most important creative achievement in alt rock. ""Nevermind"" never would have happened without ""Nothing's Shocking.""But the story part of this movie is just a drug-addled, self-indulgent load of tripe. I'd much rather see all the performances together and then have the option of watching the mistakenly artsy story scenes.I'll still listen to their first three albums religiously, but I won't ever open this Gift again."
positive,Blood Brother,"If you find yourself still interested in the case of Laci Peterson, then this book is for you. It takes you on a journey through the life and death of Laci Peterson through the overlooked point of view of Laci's sister-in-law, Anne Bird. It is a fascinating and thought-provoking book, but no matter how many books are written on this subject nothing will ever change the disheartening ending that Laci Peterson will not get to have the child she had so joyfully looked forward to raising."
negative,Not Worth it!,"I didn't enjoyed this at all, sorry to say! But I also purchased Theological immortal romance, which I can suggest. Which was a wonderful, uplifting, spiritual and romantic experience."
negative,Travel Book? What A Joke!!!!!,"Because of making a quick decision to travel to Papua New Guinea, I ordered the Lonely Planet Papua New Guinea Book from you and payed to have it ovenighted.Although I wasn't leaving until 5 days later, the book never arrived.Upon returning from the trip, I found the book had arrived while I was gone. Although asking for overnight shipping, it had been shipped 4 days after the order date,and by ground. But the best part of it was that the book was the 1993 version!!!! An information travel book 17 years old! I don't know if I should call it a joke or just the total rip off that it is.Will I use your services again? I'm not so stupid!Anthony FalconeKey West, Florida"
negative,MOTOv300,"OK moto 300 not a bad phone, most problems with the phone is mostly with user error and abuse...v330 is better v360 is coming!"
positive,DECEITFUL,OK. OOOOPS! MY ERROR. I. didn't look close enough at the small print. This indeed is Burt Lancaster's first film. If anyone looked at my first review. please ignore.
positive,"wonderful film, true to the book",I thoroughly enjoyed this video. It remains very true to the book. I was becoming rather tired of films straying so far from burnetts story. The film kept me enthralled from beginning to end. I have watched it several times and shown it to all my friends and they agree that it is a magical story. A must see!
negative,Why is Amazon supporting bootlegs??,"This is a bootleg, pure and simple. The quality is sub standard, there are little to none special features. There is a real version with dolby sound on Amazon, get the real one, support anime."
negative,Warning ! This is not the original sound track !!,"Bear in mind this is not the original Pink Panther sound track, even though they deceptively make it look as if it is. I purchased this CD specifically for the number Claudia Cardinale sings, but to my great disappointment her song is not included and they substitute the corny instrumental in it's place. I feel cheated, and believe they should make it clear that this CD may not contain the tracks one may be looking for..."
positive,Thank You For the Music,"Even if you did not see the Broadway Production, the soundtrack to Mama Mia! by The Universal Music Company will keep you rocking through the night with some of ABBA's greatest hits of the 70's. Some of the songs featured on this soundtrack are Mama Mia, Dancing Queen, Super Trouper, Chiquitita, and 20 other great hits. No matter what year you were born, these upbeat songs will for sure keep you happy and will help you to be cheerful on a busy day."
negative,If You Buy This...,"I can't believe she actually published personal, private poems A.J. wrote to her, and photos of A.J. and the rest of the Boys. The first thing that caught my eye was a notice, stating that A.J. McLean or any of the other Backstreet Boys had nothing to do with this book and did not agree to it. (Unauthorized, in other words.) If you really do love the Backstreet Boys, especially A.J., don't buy this book!"
negative,Diminishing,"Let's stop the series here, it's slow paced, uneventful, anti climatic. Maybe one third of the previous ones"
negative,Very disappointing,"I will not recommend anyone to spend money to buy it for their library. I was disappointed. The story moved too quickly for my liking. To have real hold of story on readers mind, the author should grasp him by establishing a strong profile of the characters whereas in this story ...... there was a woman and we don't know anything about her except that she came from seatle and withing few days she was ready to live with someone she didn't know anything about .... and get that ... she made up her mind to marry him when she looked at him first time .... Love at first sight . and then there was this indian cheif who knew that the woman he just saw was his destiny and she can replace his wife ..... ..... HmmmmGood but wasted plot of the story."
negative,Not strong enough,"Every bowl I try to make on this ends up smashing on the floor, no matter how much I tighten it, and how careful I turn."
negative,same thing new story,I like shorts don't get me wrong! these one's just didn't do it! it was still worth the rental! if your bored!
positive,Good product,"This product works very well and is simple to use as long as you follow the directions. I like the privacy it gives while still letting light through. It's great too because you can take it off, move it, cut it and reuse it."
negative,"Wimpy, wimpy, wimpy","I bought this item based on the reviews and the fact that my two cordless drills both had their batteries go belly up because they only get used sporadically - so the alkaline power source seemed a good fit. My first, and only, project with this screwdriver was replacing the magnetron on my microwave - all it had to do was unscrew about 25 sheetmetal screws and then replace them. No major torque jobs or anything, but by the end of the project the screwdriver was out of power and wouldn't tighten the screws even snug. It's handy to have around if all you need to do is remove faceplate covers from your switches and wall plugs, save you from having to do it manually, but doesn't have any power or stamina. I can't imagine somebody trying to use this product for woodscrews."
negative,Superstitious horse manure,More superstitious horse manure from a con artist who plays on people's fears to make a pile of money.
negative,Don't waste your money.,"We bought seven of these and none worked, neither the thermometer or the humidity gauge."
negative,People Liked This Movie?,"I actually sat through the entire movie waiting for something to happen - it didn't. This is one of those movies that the artsy fartsy set really like, maybe because there is a vertically-challenged gentleman in it. Who knows. For those of you who like movies with real plots and things like that, look elsewhere. This is one of those movies that feels like it was done by your brother in some film school project and really isn't much of a movie. I love trains, so at least there were trains, but other than that, I can't get my two hours back from sitting through this."
positive,Difficult material but worthwhile,This is one of those books of which you either like it or not. Maybe is not an option. Great book overall!
negative,Stuck Pixels and uneven backlighting,"I know that for the price paid for the item, that I shouldn't expect miracles, but seriously... 2 stuck pixels and the uneven backlighting on this monitor are completely crappy. It doesn't even produce that great an image over DVI. I have yet to get fed up and switch it to see if it works any better on an analog connection, so if I ever do it, I'll update my review.I have a viewsonic Q20wb which I use at work and it's flawless...beautiful backlighting for great black-level performance, no stuck pixels, and great color calibration.The Acer just doesn't live up to the hype... Spend 20-30 bucks more for something better."
positive,Very good but not great.,"We got this double stroller because our girls were 14 mo. apart. Even though our oldest walks well now, we still use this when we are out for long walks or shopping so as to keep her closer to us.Pros: The car seat that came with the single child travel system works with this stroller too. Car seat can go in either the front or the back.Durable.Drives easily, rides smoothly.Cons: Difficult to collapse and open again. The wheels have to line up perfectly(!) with the frame so that the locking mechanism can catch. Also, the catch is so tight it's hard to unlock it in order to open the stroller again.Somewhat heavy to get in and out of the SUV.Bulky - Fits fine in our SUV, but in a car it has to be put in the trunk upside down so the trunk lid shuts. The problem with this is 1) stuff falls out of the basket; and 2) I don't like the parts my girls touch to be on the bottom of the dirty trunk.I'd get one again though. Once it's open it's a dream."
positive,"Dark, ominous, delicious.","I listened to the album for the first time through on headphones this morning and it sounded to me like the last songs of a Hallowe'en dance at a high school in the 1980's -- leaves swirling in the dusk and a half-smoked, hastily-discarded cigarette smouldering in the garbage bin in the girl's washroom. Uneasy -- the potential for something bad to happen."
negative,Pure hysterics..... so what if there is no gold.,"So what if there is no gold in Knox? The U.S. has been off the gold standard for decades. This film is so sensationalistic and overblown with weird soundtrack and 3 people who are described as simply attorney, professor and engineer. How lame. Just pure yellow journalism, film to make a buck... and not an ounce of gold to see either."
negative,Price Gouged,"I had no trouble opening this pillbox, but once I did I had two surprises. First, it was not polished on the inside. And worse, it had a price sticker on it marked $7.90. Deeper and better made is the Frank Lloyd Wirght pillbox for the same price I found on Amazon. Although not sterling silver it is much nicer and appropriately priced."
negative,Old book Copyright in 1977,"Didn't realize I was ordering a book that was thirty six years old, and it was rated ""good"". The cover was torn and it was all faded. Haven't read it yet, so it might be really wonderful."
positive,Worth the money,"I enjoyed this book very much. Has great ideas and is written to make everything understandable.Includes recipes! Havent tried any yet, but many sound very good!"
positive,Insurance for your lens,"I wish I didn't need this - works like it's supposed to: keeps sun, fingers, and everything else away from the lens glass. It seems a ridiculous price to pay for plastic, but a bargain for the peace of mind I guess."
negative,The paper was different,"I have this product, but when I purchased this notebook from your company, the paper was a differentshade of orchid. It was not the same shade. But, I will say, that I might have not purchased from youwhen I brought this product 6 months ago."
positive,Moms review for 9 year old,"I was skeptical about this because of the recommended age. My husband insisted we get this one (the bigger one). My son has never ridden a dirt bike and he took to this like a fish to water. We have had no issues and it works great. I would say this is perfect for his age/size. The battery life has been fine, went together easily and hopefully will be working fine for a long time. It was such a huge hit with our son."
